code;pairCode;name;manufacturer;itemType;ean;productNumber;defaultImage;image;image2;image3;image4;image5;image6;image7;image8;image9;image10;image11;image12;image13;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;pricelist:6:price;pricelist:6:standardPrice;pricelist:6:purchasePrice;variant:Barva;variant:Pøíchu;variant:Váha;variant:ZVOL PØÍCHU 1;variant:ZVOL PØÍCHU 2;stock;stockLocation;availabilityInStock;packageAmount;packageAmountUnit;measureAmount;measureAmountUnit;internalNote
67/PIS;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345079;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;Pistachio dessert;;;;-43;;Skladem;;;;;
67/PLA;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345093;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;playful cherry;;;;-9;;Skladem;;;;;
67/STR;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345055;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;Strawberry milkshake;;;;-28;;Skladem;;;;;
67/VAN;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345086;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;Vanilla dream;;;;-21;;Skladem;;;;;
70/BAN;2;STEVIA WHEY 80 1kg - 7 pøíchutí;Protein&Co.;product;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-7_stevia-whey-80-1kg-7-prichuti.jpg?5b8034ae;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70_stevia-whey-80-1kg-7-prichuti.jpg?5b563adf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-1_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae3;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-2_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae6;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-3_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae9;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-4_stevia-whey-80-1kg-7-prichuti.jpg?5b563aec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-5_stevia-whey-80-1kg-7-prichuti.jpg?5b563aef;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-6_stevia-whey-80-1kg-7-prichuti.jpg?5b563af2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-7_stevia-whey-80-1kg-7-prichuti.jpg?5b8034ae;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-8_stevia-whey-80-1kg-7-prichuti.jpg?5b8034b1;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-9_stevia-whey-80-1kg-7-prichuti.jpg?5b8034bf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-10_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-11_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c7;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-12_stevia-whey-80-1kg-7-prichuti.jpg?5b8034cd;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;;;;;Banana split;;;;0;;Skladem;;;;;
70/CHO;2;STEVIA WHEY 80 1kg - 7 pøíchutí;Protein&Co.;product;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-9_stevia-whey-80-1kg-7-prichuti.jpg?5b8034bf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70_stevia-whey-80-1kg-7-prichuti.jpg?5b563adf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-1_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae3;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-2_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae6;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-3_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae9;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-4_stevia-whey-80-1kg-7-prichuti.jpg?5b563aec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-5_stevia-whey-80-1kg-7-prichuti.jpg?5b563aef;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-6_stevia-whey-80-1kg-7-prichuti.jpg?5b563af2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-7_stevia-whey-80-1kg-7-prichuti.jpg?5b8034ae;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-8_stevia-whey-80-1kg-7-prichuti.jpg?5b8034b1;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-9_stevia-whey-80-1kg-7-prichuti.jpg?5b8034bf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-10_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-11_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c7;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-12_stevia-whey-80-1kg-7-prichuti.jpg?5b8034cd;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;;;;;Chocolate brownie;;;;0;;Skladem;;;;;
70/CHO2;2;STEVIA WHEY 80 1kg - 7 pøíchutí;Protein&Co.;product;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-8_stevia-whey-80-1kg-7-prichuti.jpg?5b8034b1;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70_stevia-whey-80-1kg-7-prichuti.jpg?5b563adf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-1_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae3;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-2_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae6;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-3_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae9;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-4_stevia-whey-80-1kg-7-prichuti.jpg?5b563aec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-5_stevia-whey-80-1kg-7-prichuti.jpg?5b563aef;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-6_stevia-whey-80-1kg-7-prichuti.jpg?5b563af2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-7_stevia-whey-80-1kg-7-prichuti.jpg?5b8034ae;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-8_stevia-whey-80-1kg-7-prichuti.jpg?5b8034b1;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-9_stevia-whey-80-1kg-7-prichuti.jpg?5b8034bf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-10_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-11_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c7;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-12_stevia-whey-80-1kg-7-prichuti.jpg?5b8034cd;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;;;;;Chocobanana symphony;;;;0;;Skladem;;;;;
70/NAT;2;STEVIA WHEY 80 1kg - 7 pøíchutí;Protein&Co.;product;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-4_stevia-whey-80-1kg-7-prichuti.jpg?5b563aec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70_stevia-whey-80-1kg-7-prichuti.jpg?5b563adf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-1_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae3;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-2_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae6;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-3_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae9;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-4_stevia-whey-80-1kg-7-prichuti.jpg?5b563aec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-5_stevia-whey-80-1kg-7-prichuti.jpg?5b563aef;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-6_stevia-whey-80-1kg-7-prichuti.jpg?5b563af2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-7_stevia-whey-80-1kg-7-prichuti.jpg?5b8034ae;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-8_stevia-whey-80-1kg-7-prichuti.jpg?5b8034b1;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-9_stevia-whey-80-1kg-7-prichuti.jpg?5b8034bf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-10_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-11_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c7;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-12_stevia-whey-80-1kg-7-prichuti.jpg?5b8034cd;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;;;;;natural flavor;;;;0;;Skladem;;;;;
70/PIS;2;STEVIA WHEY 80 1kg - 7 pøíchutí;Protein&Co.;product;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-11_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c7;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70_stevia-whey-80-1kg-7-prichuti.jpg?5b563adf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-1_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae3;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-2_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae6;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-3_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae9;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-4_stevia-whey-80-1kg-7-prichuti.jpg?5b563aec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-5_stevia-whey-80-1kg-7-prichuti.jpg?5b563aef;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-6_stevia-whey-80-1kg-7-prichuti.jpg?5b563af2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-7_stevia-whey-80-1kg-7-prichuti.jpg?5b8034ae;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-8_stevia-whey-80-1kg-7-prichuti.jpg?5b8034b1;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-9_stevia-whey-80-1kg-7-prichuti.jpg?5b8034bf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-10_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-11_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c7;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-12_stevia-whey-80-1kg-7-prichuti.jpg?5b8034cd;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;;;;;Pistachio dessert;;;;0;;Skladem;;;;;
70/STR;2;STEVIA WHEY 80 1kg - 7 pøíchutí;Protein&Co.;product;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-10_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70_stevia-whey-80-1kg-7-prichuti.jpg?5b563adf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-1_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae3;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-2_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae6;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-3_stevia-whey-80-1kg-7-prichuti.jpg?5b563ae9;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-4_stevia-whey-80-1kg-7-prichuti.jpg?5b563aec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-5_stevia-whey-80-1kg-7-prichuti.jpg?5b563aef;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-6_stevia-whey-80-1kg-7-prichuti.jpg?5b563af2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-7_stevia-whey-80-1kg-7-prichuti.jpg?5b8034ae;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-8_stevia-whey-80-1kg-7-prichuti.jpg?5b8034b1;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-9_stevia-whey-80-1kg-7-prichuti.jpg?5b8034bf;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-10_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c2;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-11_stevia-whey-80-1kg-7-prichuti.jpg?5b8034c7;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/70-12_stevia-whey-80-1kg-7-prichuti.jpg?5b8034cd;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;;;;;Strawberry milkshake;;;;0;;Skladem;;;;;
